"id","cest"
"2","01.001.00"
"3","01.002.00"
"4","01.003.00"
"5","01.004.00"
"6","01.005.00"
"7","01.006.00"
"8","01.007.00"
"9","01.008.00"
"10","01.009.00"
"11","01.010.00"
"12","01.011.00"
"13","01.012.00"
"14","01.013.00"
"15","01.014.00"
"16","01.015.00"
"17","01.016.00"
"18","01.017.00"
"19","01.018.00"
"20","01.019.00"
"21","01.020.00"
"22","01.021.00"
"23","01.022.00"
"24","01.023.00"
"25","01.024.00"
"26","01.025.00"
"27","01.026.00"
"28","01.027.00"
"29","01.028.00"
"30","01.029.00"
"31","01.030.00"
"32","01.031.00"
"33","01.032.00"
"34","01.033.00"
"35","01.034.00"
"36","01.035.00"
"37","01.036.00"
"38","01.037.00"
"39","01.038.00"
"40","01.039.00"
"41","01.040.00"
"42","01.041.00"
"43","01.042.00"
"44","01.043.00"
"45","01.044.00"
"46","01.045.00"
"47","01.046.00"
"48","01.047.00"
"49","01.048.00"
"50","01.049.00"
"51","01.050.00"
"52","01.051.00"
"53","01.052.00"
"54","01.053.00"
"55","01.054.00"
"56","01.055.00"
"57","01.056.00"
"58","01.057.00"
"59","01.058.00"
"60","01.059.00"
"61","01.060.00"
"62","01.061.00"
"63","01.062.00"
"64","01.063.00"
"65","01.064.00"
"66","01.065.00"
"67","01.066.00"
"68","01.067.00"
"69","01.068.00"
"70","01.069.00"
"71","01.070.00"
"72","01.071.00"
"73","01.072.00"
"74","01.073.00"
"75","01.074.00"
"76","01.075.00"
"77","01.076.00"
"78","01.077.00"
"79","01.078.00"
"80","01.079.00"
"81","01.080.00"
"82","01.081.00"
"83","01.082.00"
"84","01.083.00"
"85","01.084.00"
"86","01.085.00"
"87","01.086.00"
"88","01.087.00"
"89","01.088.00"
"90","01.089.00"
"91","01.090.00"
"92","01.091.00"
"93","01.092.00"
"94","01.093.00"
"95","01.094.00"
"96","01.095.00"
"97","01.096.00"
"98","01.097.00"
"99","01.098.00"
"100","01.099.00"
"101","01.100.00"
"102","01.101.00"
"103","01.102.00"
"104","01.103.00"
"105","01.104.00"
"106","01.105.00"
"107","01.106.00"
"108","01.107.00"
"109","01.108.00"
"110","01.109.00"
"111","01.110.00"
"112","01.111.00"
"113","01.112.00"
"114","01.113.00"
"115","01.114.00"
"116","01.115.00"
"117","01.116.00"
"118","01.117.00"
"119","01.118.00"
"120","01.119.00"
"121","01.120.00"
"122","01.121.00"
"123","01.122.00"
"124","01.123.00"
"125","01.124.00"
"126","01.125.00"
"127","01.126.00"
"128","01.127.00"
"129","01.128.00"
"130","01.129.00"
"131","02.001.00"
"132","02.002.00"
"133","02.003.00"
"134","02.004.00"
"135","02.005.00"
"136","02.006.00"
"137","02.007.00"
"138","02.008.00"
"139","02.009.00"
"140","02.010.00"
"141","02.011.00"
"142","02.012.00"
"143","02.013.00"
"144","02.014.00"
"145","02.015.00"
"146","02.016.00"
"147","02.017.00"
"148","02.018.00"
"149","02.019.00"
"150","02.020.00"
"151","02.021.00"
"152","02.022.00"
"153","02.023.00"
"154","02.024.00"
"155","02.025.00"
"156","03.001.00"
"157","03.002.00"
"158","03.003.00"
"159","03.004.00"
"160","03.005.00"
"161","03.006.00"
"162","03.007.00"
"163","03.008.00"
"164","03.009.00"
"165","03.010.00"
"166","03.011.00"
"167","03.012.00"
"168","03.013.00"
"169","03.014.00"
"170","04.001.00"
"171","04.002.00"
"172","05.001.00"
"173","06.001.00"
"174","06.002.00"
"175","06.003.00"
"176","06.004.00"
"177","06.005.00"
"178","06.006.00"
"179","06.007.00"
"180","06.008.00"
"181","06.009.00"
"182","06.010.00"
"183","06.011.00"
"184","06.012.00"
"185","07.001.00"
"186","08.001.00"
"187","08.002.00"
"188","08.003.00"
"189","08.004.00"
"190","08.005.00"
"191","08.006.00"
"192","08.007.00"
"193","08.008.00"
"194","08.009.00"
"195","08.010.00"
"196","08.011.00"
"197","08.012.00"
"198","08.013.00"
"199","08.014.00"
"200","08.015.00"
"201","08.016.00"
