"id","codigo","nome","idestado"
"2","1100015","ALTA FLORESTA D'OESTE","2"
"3","1100023","ARIQUEMES","2"
"4","1100031","CABIXI","2"
"5","1100049","CACOAL","2"
"6","1100056","CEREJEIRAS","2"
"7","1100064","COLORADO DO OESTE","2"
"8","1100072","CORUMBIARA","2"
"9","1100080","COSTA MARQUES","2"
"10","1100098","ESPIGÃO D'OESTE","2"
"11","1100106","GUAJARÁ-MIRIM","2"
"12","1100114","JARU","2"
"13","1100122","JI-PARANÁ","2"
"14","1100130","MACHADINHO D'OESTE","2"
"15","1100148","NOVA BRASILÂNDIA D'OESTE","2"
"16","1100155","OURO PRETO DO OESTE","2"
"17","1100189","PIMENTA BUENO","2"
"18","1100205","PORTO VELHO","2"
"19","1100254","PRESIDENTE MÉDICI","2"
"20","1100262","RIO CRESPO","2"
"21","1100288","ROLIM DE MOURA","2"
"22","1100296","SANTA LUZIA D'OESTE","2"
"23","1100304","VILHENA","2"
"24","1100320","SÃO MIGUEL DO GUAPORÉ","2"
"25","1100338","NOVA MAMORÉ","2"
"26","1100346","ALVORADA D'OESTE","2"
"27","1100379","ALTO ALEGRE DOS PARECIS","2"
"28","1100403","ALTO PARAÍSO","2"
"29","1100452","BURITIS","2"
"30","1100502","NOVO HORIZONTE DO OESTE","2"
"31","1100601","CACAULÂNDIA","2"
"32","1100700","CAMPO NOVO DE RONDÔNIA","2"
"33","1100809","CANDEIAS DO JAMARI","2"
"34","1100908","CASTANHEIRAS","2"
"35","1100924","CHUPINGUAIA","2"
"36","1100940","CUJUBIM","2"
"37","1101005","GOVERNADOR JORGE TEIXEIRA","2"
"38","1101104","ITAPUÃ DO OESTE","2"
"39","1101203","MINISTRO ANDREAZZA","2"
"40","1101302","MIRANTE DA SERRA","2"
"41","1101401","MONTE NEGRO","2"
"42","1101435","NOVA UNIÃO","2"
"43","1101450","PARECIS","2"
"44","1101468","PIMENTEIRAS DO OESTE","2"
"45","1101476","PRIMAVERA DE RONDÔNIA","2"
"46","1101484","SÃO FELIPE D'OESTE","2"
"47","1101492","SÃO FRANCISCO DO GUAPORÉ","2"
"48","1101500","SERINGUEIRAS","2"
"49","1101559","TEIXEIRÓPOLIS","2"
