"id","codigo","nome","codigo_ibge","url_consulta_cadastro"
"2","RO","RONDÔNIA","11","NfeConsultaCadastro.SVRS"
"3","AC","ACRE","12","NfeConsultaCadastro.SVRS"
"4","AM","AMAZONAS","13","NfeConsultaCadastro.AM"
"5","RR","RORAIMA","14","NfeConsultaCadastro.SVRS"
"6","PA","PARÁ","15","NfeConsultaCadastro.SVAN"
"7","AP","AMAPÁ","16","NfeConsultaCadastro.SVRS"
"8","TO","TOCANTINS","17","NfeConsultaCadastro.SVRS"
"9","MA","MARANHÃO","21","NfeConsultaCadastro.MA"
"10","PI","PIAUÍ","22","NfeConsultaCadastro.SVAN"
"11","CE","CEARÁ","23","NfeConsultaCadastro.CE"
"12","RN","RIO GRANDE DO NORTE","24","NfeConsultaCadastro.SVRS"
"13","PB","PARAÍBA","25","NfeConsultaCadastro.SVRS"
"14","PE","PERNAMBUCO","26","NfeConsultaCadastro.PE"
"15","AL","ALAGOAS","27","NfeConsultaCadastro.SVRS"
"16","SE","SERGIPE","28","NfeConsultaCadastro.SVRS"
"17","BA","BAHIA","29","NfeConsultaCadastro.BA"
"18","MG","MINAS GERAIS","31","NfeConsultaCadastro.MG"
"19","ES","ESPÍRITO SANTO","32","NfeConsultaCadastro.SVRS"
"20","RJ","RIO DE JANEIRO","33","NfeConsultaCadastro.SVRS"
"21","SP","SÃO PAULO","35","NfeConsultaCadastro.SP"
"22","PR","PARANÁ","41","NfeConsultaCadastro.PR"
"23","SC","SANTA CATARINA","42","NfeConsultaCadastro.SVRS"
"24","RS","RIO GRANDE DO SUL","43","NfeConsultaCadastro.RS"
"25","MS","MATO GROSSO DO SUL","50","NfeConsultaCadastro.MS"
"26","MT","MATO GROSSO","51","NfeConsultaCadastro.MT"
"27","GO","GOIÁS","52","NfeConsultaCadastro.GO"
"28","DF","DISTRITO FEDERAL","53","NfeConsultaCadastro.SVRS"
