"id","tipo","ncm","nacionalfederal","importadofederal","estadual","municipal","versao"
"1","0","1012100","4.20","6.99","12.00","0.00","16.2.B"
"2","0","1012900","4.20","6.99","12.00","0.00","16.2.B"
"3","0","1013000","4.20","7.76","5.87","0.00","16.2.B"
"4","0","1019000","4.20","7.76","5.87","0.00","16.2.B"
"5","0","1022110","4.20","6.20","12.00","0.00","16.2.B"
"6","0","1022190","4.20","6.20","12.00","0.00","16.2.B"
"7","0","1022911","4.20","6.99","12.00","0.00","16.2.B"
"8","0","1022919","4.20","6.99","12.00","0.00","16.2.B"
"9","0","1022990","4.20","6.99","12.00","0.00","16.2.B"
"10","0","1023110","4.20","6.20","12.00","0.00","16.2.B"
"11","0","1023190","4.20","6.20","12.00","0.00","16.2.B"
"12","0","1023911","4.20","6.99","12.00","0.00","16.2.B"
"13","0","1023919","4.20","6.99","12.00","0.00","16.2.B"
"14","0","1023990","4.20","6.99","12.00","0.00","16.2.B"
"15","0","1029000","4.20","6.20","12.00","0.00","16.2.B"
"16","0","1031000","4.20","6.20","12.00","0.00","16.2.B"
"17","0","1039100","4.20","6.99","12.00","0.00","16.2.B"
"18","0","1039200","4.20","6.99","12.00","0.00","16.2.B"
"19","0","1041011","4.20","6.20","12.00","0.00","16.2.B"
"20","0","1041019","4.20","6.20","12.00","0.00","16.2.B"
"21","0","1041090","4.20","6.99","12.00","0.00","16.2.B"
"22","0","1042010","4.20","6.20","0.00","0.00","16.2.B"
"23","0","1042090","4.20","6.99","0.00","0.00","16.2.B"
"24","0","1051110","4.20","6.20","0.00","0.00","16.2.B"
"25","0","1051190","4.20","6.99","0.00","0.00","16.2.B"
"26","0","1051200","4.20","6.99","0.00","0.00","16.2.B"
"27","0","1051300","4.20","6.99","0.00","0.00","16.2.B"
"28","0","1051400","4.20","6.99","0.00","0.00","16.2.B"
"29","0","1051500","4.20","6.99","0.00","0.00","16.2.B"
"30","0","1059400","4.20","7.76","0.00","0.00","16.2.B"
"31","0","1059900","4.20","7.76","0.00","0.00","16.2.B"
"32","0","1061100","4.20","7.76","0.00","0.00","16.2.B"
"33","0","1061200","4.20","7.76","0.00","0.00","16.2.B"
"34","0","1061300","4.20","7.76","0.00","0.00","16.2.B"
"35","0","1061400","4.20","7.76","0.00","0.00","16.2.B"
"36","0","1061900","4.20","7.76","12.00","0.00","16.2.B"
"37","0","1062000","4.20","7.76","0.00","0.00","16.2.B"
"38","0","1063100","4.20","7.76","0.00","0.00","16.2.B"
"39","0","1063200","4.20","7.76","0.00","0.00","16.2.B"
"40","0","1063310","4.20","6.20","0.00","0.00","16.2.B"
"41","0","1063390","4.20","7.76","0.00","0.00","16.2.B"
"42","0","1063900","4.20","7.76","0.00","0.00","16.2.B"
"43","0","1064100","4.20","7.76","12.00","0.00","16.2.B"
"44","0","1064900","4.20","7.76","12.00","0.00","16.2.B"
"45","0","1069000","4.20","7.76","12.00","0.00","16.2.B"
"46","0","2011000","4.20","9.89","12.00","0.00","16.2.B"
"47","0","2012010","4.20","9.89","12.00","0.00","16.2.B"
"48","0","2012020","4.20","9.89","12.00","0.00","16.2.B"
"49","0","2012090","4.20","9.89","12.00","0.00","16.2.B"
"50","0","2013000","4.20","10.54","12.00","0.00","16.2.B"
"51","0","2021000","4.20","9.89","12.00","0.00","16.2.B"
"52","0","2022010","4.20","9.89","12.00","0.00","16.2.B"
"53","0","2022020","4.20","9.89","12.00","0.00","16.2.B"
"54","0","2022090","4.20","9.89","12.00","0.00","16.2.B"
"55","0","2023000","4.20","10.54","12.00","0.00","16.2.B"
"56","0","2031100","4.20","9.89","7.00","0.00","16.2.B"
"57","0","2031200","4.20","9.89","7.00","0.00","16.2.B"
"58","0","2031900","4.20","9.89","7.00","0.00","16.2.B"
"59","0","2032100","4.20","9.89","7.00","0.00","16.2.B"
"60","0","2032200","4.20","9.89","7.00","0.00","16.2.B"
"61","0","2032900","4.20","9.89","7.00","0.00","16.2.B"
"62","0","2041000","4.20","9.89","7.00","0.00","16.2.B"
"63","0","2042100","4.20","9.89","7.00","0.00","16.2.B"
"64","0","2042200","4.20","9.89","7.00","0.00","16.2.B"
"65","0","2042300","4.20","9.89","7.00","0.00","16.2.B"
"66","0","2043000","4.20","9.89","7.00","0.00","16.2.B"
"67","0","2044100","4.20","9.89","7.00","0.00","16.2.B"
"68","0","2044200","4.20","9.89","7.00","0.00","16.2.B"
"69","0","2044300","4.20","9.89","7.00","0.00","16.2.B"
"70","0","2045000","4.20","9.89","0.00","0.00","16.2.B"
"71","0","2050000","13.45","19.14","17.00","0.00","16.2.B"
"72","0","2061000","4.20","9.89","12.00","0.00","16.2.B"
"73","0","2062100","4.20","9.89","12.00","0.00","16.2.B"
"74","0","2062200","4.20","9.89","12.00","0.00","16.2.B"
"75","0","2062910","4.20","9.89","12.00","0.00","16.2.B"
"76","0","2062990","4.20","9.89","12.00","0.00","16.2.B"
"77","0","2063000","4.20","9.89","4.94","0.00","16.2.B"
"78","0","2064100","4.20","9.89","4.94","0.00","16.2.B"
